low
0	0
10	0.133926
6	0.176353
8	0.255663
6	0.295916
5	0.321414
5	0.346532
8	0.421799
9	0.517794
7	0.569704
6	0.604346
10	0.720384
11	0.860489
7	0.905266
5	0.921679
6	0.950033
2	0.947341
4	0.953988
7	0.99682
4	1.00288
11	1.1338
13	1.32181
14	1.53712
10	1.62555
5	1.63122
8	1.67598
8	1.71967
12	1.85481
5	1.85706
2	1.84893
14	2.04253
11	2.13965
10	2.21025
10	2.27875
8	2.30813
2	2.2973
7	2.31218
8	2.34076
8	2.36867
3	2.3564
11	2.44332
5	2.4368
6	2.43809
4	2.42693
2	2.41539
2	2.40392
4	2.39316
12	2.50445
7	2.51501
9	2.55516
5	2.54698
1	2.53934
7	2.54917
5	2.54107
9	2.58053
14	2.74399
11	2.81831
2	2.80442
7	2.80874
3	2.79253
6	2.78746
3	2.77144
4	2.75629
11	2.83021
6	2.82447
11	2.89617
5	2.8829
6	2.87622
0	2.87622
9	2.89833
4	2.88167
4	2.86521
14	3.01694
7	3.01684
8	3.02869
2	3.01354
5	2.99852
5	2.98372
9	3.01137
8	3.02335
10	3.06779
7	3.06663
6	3.05666
5	3.041
4	3.02263
13	3.13829
8	3.14726
7	3.14444
0	3.14444
2	3.11923
8	3.12865
8	3.13784
3	3.11868
8	3.12811
2	3.11237
8	3.12195
13	3.2338
10	3.27201
8	3.2778
7	3.27227
